province,2541,2543,2545,2547,2549,2550,2552,2554,2556,2558
Chiang Mai ,"10,349","9,243","9,582","12,586","14,904","14,386","16,141","18,323","14,393","14,950"
Suphan Buri ,"12,409","13,334","12,984","15,781","14,783","15,112","15,797","15,928","17,260","15,786"
Kanchanaburi ,"13,082","11,680","15,380","12,122","15,606","15,326","17,571","15,210","18,746","18,884"
Nakhon Pathom ,"15,178","18,297","18,674","20,701","33,835","25,447","24,989","22,955","30,856","40,347"
Bangkok ,"26,054","26,909","29,589","29,843","36,658","39,020","42,380","48,951","49,191","45,572"
